"NA","RW_EXP","RW_EXP_EXT_EU","RW_IMP","RW_IMP_EXT_EU","RW_PROD","SW_EXP","SW_EXP_EXT_EU","SW_IMP","SW_IMP_EXT_EU","SW_PROD","PIN_RW_EXP","PIN_RW_IMP","PIN_SW_EXP","PIN_SW_IMP"
"AT",611.603333333333,31.2311111111111,6909.56444444444,1402.43333333333,12593.11,6690.02,1419.06666666667,1350.3,368.848888888889,10333.4444444444,47.5566666666667,719.11,156.46,27.3166666666667
"BE",627.975555555556,17.6088888888889,1534.19444444444,31.0311111111111,3100,930.93,79.7477777777778,1686.53,435.37,1117.77777777778,173.923333333333,477.78,161.643333333333,231.056666666667
"BG",127.664444444444,10.44,31.01,13.32875,1565.27777777778,161.144444444444,67.3922222222222,8.80444444444444,3.80571428571429,383.155555555556,21.8466666666667,24.56,29.08,9.2
"CH",1398.05666666667,0,217.676666666667,0,3437.5,245.923333333333,0,351.421111111111,0,1409.97888888889,639.15,49.7766666666667,44.65,155.41
"CY",0,0,0.05,0.03875,7.97,0.142222222222222,0.08875,96.9422222222222,31.25,5.83444444444444,0,0.00333333333333333,0,33.7966666666667
"CZ",2294.33333333333,18.3766666666667,681.222222222222,131.325,13472.6666666667,1836.19,320.071111111111,341.048888888889,84.1428571428571,4018.33333333333,170.666666666667,119.333333333333,792.09,159.316666666667
"DE",4452.34444444444,404.216666666667,3261.09444444444,666.537777777778,38907.0044444444,6615.38777777778,1720.72333333333,4626.77,1577.28111111111,19062.0755555556,448.233333333333,551.36,2314.66,330.613333333333
"DK",461.678888888889,91.9588888888889,180.226666666667,9.57111111111111,1012.40222222222,191.412222222222,43.2,1949.9,247.683333333333,225.777777777778,5.58333333333333,18.8966666666667,143.043333333333,1089.21666666667
"EE",1083.71222222222,316.091111111111,901.786666666667,811.71625,3873.55555555556,821.675555555556,196.672222222222,452.937777777778,363.655555555556,1554.85111111111,112.423333333333,367.526666666667,193.943333333333,211.73
"EL",670.458888888889,0.3525,748.152222222222,37.4677777777778,358.756666666667,19.9177777777778,2.10555555555556,4551.63555555556,312.526666666667,70.7511111111111,1.19,66.14,2.47,2370.85
"ES",129.263333333333,0.27,1360.32555555556,8.82222222222222,7707.72333333333,77.4944444444444,16.4077777777778,2230.19777777778,477.594444444444,2575.85555555556,125.756666666667,545.27,30.6233333333333,819.653333333333
"FI",539.961111111111,103.883333333333,5913.44666666667,4612.21777777778,40533.4744444444,7349.80777777778,3026.22888888889,383.783333333333,331.471111111111,11954.4444444444,533.41,2163.98333333333,3300.00666666667,143.8
"FR",2383.95111111111,166.352222222222,1297.54555555556,325.938888888889,19445.7844444444,836.591111111111,88.7511111111111,3234.09555555556,627.895555555556,7588.63111111111,225.7,259.43,80.6833333333333,384.33
"HR",26.14,NA,22.2222222222222,NA,581.111111111111,8.77777777777778,NA,316.438888888889,NA,98.1111111111111,NA,NA,NA,NA
"HU",334.732222222222,11.7575,240.224444444444,146.48,627.544444444444,34.7011111111111,5.10375,823.633333333333,364.9,77.2111111111111,229.846666666667,82.6233333333333,10.66,136.206666666667
"IE",247.537777777778,2.6,167.705555555556,3.44666666666667,2506.65555555556,398.748888888889,11.4288888888889,618.891111111111,140.573333333333,924.846666666667,236.963333333333,165.626666666667,13.3933333333333,8.86333333333333
"IS",0,0,0.96375,1.28,0,0.10625,0.0233333333333333,83.60875,86.17,0,NA,NA,NA,NA
"IT",7.86444444444444,2.80777777777778,2086.23444444444,847.326666666667,1213.17111111111,74.1422222222222,36.2311111111111,5891.17,2761.77111111111,763.333333333333,0.366666666666667,75.4333333333333,1.95666666666667,378.52
"LI",6,0,0,0,8.8375,0,0,0,0,6.25,0,0,0,0
"LT",690.768888888889,137.9575,88.0955555555556,79.0828571428571,2617.54666666667,490.531111111111,110.448888888889,336.733333333333,297.958888888889,881.688888888889,350.3,76.1366666666667,126.93,109.933333333333
"LU",216.47,0.4325,659.405555555556,0.005,111.76,46.1088888888889,0.00111111111111111,72.6877777777778,0.21,111.067777777778,0.803333333333333,472.566666666667,0.393333333333333,14.3866666666667
"LV",1764.06555555556,78.8333333333333,431.597777777778,393.46125,7048.36222222222,2094.55111111111,252.224444444444,355.12,388.635714285714,2907.27444444444,208.303333333333,187.65,361.1,145.916666666667
"ME",34.925,NA,2.76,NA,154.5,36.585,NA,3.71,NA,41.5,NA,NA,NA,NA
"MK",0.14,NA,2.38,NA,58.4444444444444,0.938888888888889,NA,132.867777777778,NA,4.19,NA,NA,NA,NA
"MT",0,0,0.26,0,0,0.0822222222222222,0,11.91,0.736666666666667,0,0,0.0075,0,3.985
"NL",385.155555555556,1.73444444444444,276.188888888889,45.9444444444444,548.54,304.844444444444,14.2888888888889,2543.83333333333,624.9,166.435555555556,109.193333333333,94.73,80.79,253.6
"NO",628.006666666667,1.01,1919.72777777778,10.985,7530.28,488.297777777778,33.92,914.608888888889,2.86,2209.77777777778,502.475,103.165,0,0
"PL",538.832222222222,64.45,572.244444444444,333.4625,21469.6344444444,504.538888888889,40.95625,346.112222222222,177.088571428571,3033.13333333333,311.876666666667,490.193333333333,217.81,186.426666666667
"PT",77.6066666666667,0.703333333333333,101.397777777778,7.03444444444444,3454.82222222222,321.904444444444,30.1833333333333,55.7455555555556,12.6877777777778,922.692222222222,46,26.9666666666667,201.36,7.18666666666667
"RO",30.8033333333333,14.3125,215.433333333333,235.9,5108.76666666667,1634.94555555556,972.543333333333,14.4888888888889,8.74,2270.82666666667,2.23,22.66,0.19,2.16666666666667
"SE",2151.45333333333,1037.58222222222,4203.86444444444,2447.77444444444,61675.5555555556,11682.3377777778,3686.55555555556,232.397777777778,180.176666666667,17009.8888888889,337.246666666667,2157.98666666667,5267.13,114.07
"SI",182.506666666667,28.485,139.973333333333,67.58125,1506.32666666667,511.134444444444,382.202222222222,322.106666666667,9.345,377.422222222222,4.84,3.46333333333333,1.63333333333333,0.87
"SK",985.02,61.4911111111111,134.236666666667,5.555,4424.42777777778,651.206666666667,144.47,147.622222222222,12.8466666666667,1486.14,118.37,3.87,6.95666666666667,3.47
"TR",11.81,NA,1118.38777777778,NA,6986.88888888889,63.5088888888889,NA,328.876666666667,NA,3554,NA,NA,NA,NA
"UK",429.547777777778,24.5544444444444,421.351111111111,52.0866666666667,7687.25222222222,293.1,7.12444444444444,7077.57555555556,1894.06,2762.29444444444,295.8,71.1633333333333,5.84333333333333,1585.33
